lastUpdateTime:1651328430259
3523489	 Bosch Valls, Leannet Mariah	 Bosch Valls, Leannet Mariah	CUB	wf	10	2004	85	2179	0	0
3524531	 Hernandez Machado, Patricia M.	 Hernandez Machado, Patricia M.	CUB	f	0	2003	23	2302	0	0
3526216	 Hernandez Gil, Ineymig	 Hernandez Gil, Ineymig	CUB	wf	0	2004	12	2348	0	0
3700488	 Bachmann, Axel	巴赫曼	PAR	g	20	1989	85	2662	0	0
3800024	 Granda Zuniga, Julio E	格兰达	PER	g	0	1967	92	2657	67	2674
3801497	 Cordova, Emilio	科尔多瓦	PER	g	0	1991	101	2655	0	0
3802272	 Cori, Jorge	乔治-科里	PER	g	0	1995	88	2652	0	0
3901211	 Iturrizaga Bonelli, Eduardo	伊图利扎加	VEN	g	0	1989	104	2652	97	2653
4100107	 Dreev, Aleksey	德列耶夫	RUS	g	0	1969	100	2647	78	2667
4100140	 Bareev, Evgeny	巴列耶夫	CAN	g	0	1966	80	2666	0	0
4101588	 Kramnik, Vladimir	克拉姆尼克	RUS	g	0	1975	17	2753	6	2783
4101685	 Landa, Konstantin	兰达	RUS	g	0	1972	77	2670	81	2662
4102142	 Svidler, Peter	斯维德勒	RUS	g	0	1976	54	2683	13	2753
4113403	 Zvjaginsev, Vadim	兹维亚金采夫	RUS	g	8	1976	95	2658	98	2653
4115309	 Rublevsky, Sergei	鲁布廖夫斯基	RUS	g	0	1974	96	2651	49	2698
4116992	 Morozevich, Alexander	莫洛泽维奇	RUS	g	0	1977	82	2659	22	2731
4118987	 Najer, Evgeniy	纳耶尔	RUS	g	0	1977	84	2659	97	2653
4119150	 Kobalia, Mikhail	柯巴里亚	RUS	g	4	1978	99	2655	99	2655
4120086	 Turov, Maxim	图洛夫	RUS	g	34	1979	86	2667	89	2658
4120787	 Malakhov, Vladimir	马拉霍夫	RUS	g	0	1980	96	2652	54	2694
4121830	 Motylev, Alexander	莫特廖夫	RUS	g	19	1979	73	2668	50	2696
4122356	 Jakovenko, Dmitry	雅科文科	RUS	g	0	1983	57	2682	21	2736
4125029	 Riazantsev, Alexander	梁赞采夫	RUS	g	0	1985	99	2653	57	2692
4126025	 Grischuk, Alexander	格里修克	RUS	g	0	1983	19	2742	3	2792
4129199	 Grachev, Boris	格拉切夫	RUS	g	0	1986	101	2653	84	2661
4131061	 Potkin, Vladimir	波特金	RUS	g	4	1982	79	2666	77	2665
4135539	 Alekseenko, Kirill	阿列克谢延科	FID	g	0	1997	39	2698	0	0
4138147	 Alekseev, Evgeny	阿列克谢耶夫	RUS	g	6	1985	100	2651	68	2673
4140419	Timofeev,Artyom	季莫菲耶夫	RUS	g	0	1985	91	2659	0	0
4142527	 Kurnosov, Igor	库尔诺索夫	RUS	g	9	1985	84	2662	95	2657
4142578	 Khismatullin, Denis	希斯马图林	RUS	g	0	1984	99	2654	71	2671
4147235	 Tomashevsky, Evgeny	托马舍夫斯基	RUS	g	0	1987	30	2708	52	2695
4148843	 Romanov, Evgeny	罗马诺夫	RUS	g	11	1988	94	2654	97	2653
4150120	 Lysyj, Igor	雷瑟	RUS	g	0	1987	81	2663	73	2670
4151348	 Khairullin, Ildar	哈鲁林	RUS	g	0	1990	97	2653	97	2653
4152956	 Vitiugov, Nikita	维秋戈夫	FID	g	6	1987	24	2722	18	2742
4157800	 Ponkratov, Pavel	潘克拉托夫	RUS	g	11	1988	78	2662	0	0
4158814	 Andreikin, Dmitry	安德列金	FID	g	0	1990	21	2729	30	2722
4160258	 Demchenko, Anton	杰姆琴科	FID	g	0	1987	90	2654	0	0
4162722	 Inarkiev, Ernesto	伊纳尔基耶夫	RUS	g	0	1985	83	2659	62	2682
4168003	 Matlakov, Maxim	马特拉科夫	RUS	g	0	1991	65	2674	58	2689
4168119	 Nepomniachtchi, Ian	涅波姆尼亚奇	RUS	g	0	1990	7	2773	23	2730
4170350	 Popov, Ivan	波波夫	RUS	g	0	1990	80	2661	100	2652
4173708	 Rakhmanov, Aleksandr	拉赫马诺夫	RUS	g	11	1989	96	2650	0	0
4189302	 Sjugirov, Sanan	休吉尔洛夫	RUS	g	0	1993	40	2696	96	2653
4194985	 Paravyan, David	帕拉夫扬	RUS	g	15	1998	78	2660	0	0
4198603	 Shimanov, Aleksandr	施马诺夫	RUS	g	0	1992	98	2655	97	2655
4199758	 Bukavshin, Ivan	布卡夫申	RUS	g	0	1995	94	2658	0	0
4201345	 Papaioannou, Ioannis	帕帕约安努	GRE	g	0	1976	101	2652	0	0
4625498	Gustafsson,Jan	古斯塔夫森	GER	g	7	1979	100	2647	0	0
4650891	 Naiditsch, Arkadij	奈迪茨	AZE	g	0	1985	91	2654	43	2705
4657101	 Svane, Rasmus	斯瓦尼	GER	g	14	1997	98	2651	0	0
4659600	 Khenkin, Igor	汉金	GER	g	0	1968	85	2659	100	2655
4675789	 Meier, Georg	梅耶尔	GER	g	9	1987	97	2655	104	2652
4901878	 Munkhzul, Turmunkh	 Munkhzul, Turmunkh	MGL	wm	0	2002	32	2278	0	0
4902785	 Altantuya, Boldbaatar	 Altantuya, Boldbaatar	MGL	wf	0	2005	41	2263	0	0
5000017	 Anand, Viswanathan	阿南德	IND	g	0	1969	14	2751	5	2785
5002150	 Ganguly, Surya Shekhar	甘古利	IND	g	0	1983	89	2658	0	0
5004225	Sandipan,Chanda	桑迪潘	IND	g	0	1983	92	2656	undefined	undefined
5004985	 Sasikiran, Krishnan	萨斯基兰	IND	g	9	1981	99	2651	75	2669
